NAME,TYPE,ORIGIN,ORGANIC,"AVAILABLE AT (ITEM, CHAIN, PLU, ORDER LIMIT, QUANTITY, PRICE)",,,,,,,,,,
2% Milk,Dairy,Georgia,Yes,"(2% Milk,Sprouts,10001,10,410,6.38)",,,,,,,,,,
4-1 Shampoo,Personal Care,Michigan,No,"(4-1 Shampoo,Publix,10006,6,60,5.85)",,,,,,,,,,
Almond Milk,Dairy,Georgia,No,,,,,,,,,,,
Apple Juice,Beverages,Missouri,Yes,,,,,,,,,,,
Baby Food,Produce,Georgia,Yes,"(Baby Food,Sprouts,10005,5,170,10.56)",,,,,,,,,,
Baby Shampoo,Personal Care,Michigan,Yes,,,,,,,,,,,
Bagels,Bakery,Georgia,No,"(Bagels,Publix,10009,5,130,5.67)",,,,,,,,,,
Bamboo Brush,Personal Care,Louisiana,Yes,,,,,,,,,,,
Bamboo Comb,Personal Care,Louisiana,Yes,,,,,,,,,,,
Bandaids,Personal Care,Arkansas,No,"(Bandaids,Wal Mart,10002,4,300,14.71)",,,,,,,,,,
Black Tea,Beverages,India,Yes,"(Black Tea,Trader Joe's,10003,8,130,3.31)",,,,,,,,,,
Brown bread,Bakery,Georgia,No,"(Brown bread,Kroger,10002,10,80,6.99)",,,,,,,,,,
Cajun Seasoning,Other,Lousiana,Yes,,,,,,,,,,,
Campbells Soup,Other,Georgia,Yes,"(Campbells Soup,Moss Market,10003,8,390,13.31)",,,,,,,,,,
Carrot,Produce,Alabama,No,"(Carrot,Kroger,10004,10,370,8.19),(Carrot,Publix,10001,9,110,9.71)",,,,,,,,,,
Chicken Breast,Meat,Georgia,No,,,,,,,,,,,
Chicken Thighs,Meat,Georgia,Yes,"(Chicken Thighs,Publix,10008,10,280,2.81)",,,,,,,,,,
Coca-cola,Beverages,Georgia,No,"(Coca-cola,Wal Mart,10003,6,160,14.85)",,,,,,,,,,
Coffee,Beverages,Columbia,Yes,"(Coffee,Kroger,10005,8,170,4.30)",,,,,,,,,,
Disani,Beverages,California,Yes,,,,,,,,,,,
Doughnuts,Bakery,Georgia,No,,,,,,,,,,,
Earl Grey Tea,Beverages,Italy,Yes,"(Earl Grey Tea,Trader Joe's,10005,8,130,20.53)",,,,,,,,,,
Fuji Apple,Produce,Georgia,No,"(Fuji Apple,Moss Market,10002,2,130,1.99)",,,,,,,,,,
Gala Apple,Produce,New Zealand,Yes,"(Gala Apple,Moss Market,10001,8,450,15.32)",,,,,,,,,,
Grape Juice,Beverages,Missouri,No,"(Grape Juice,Publix,10004,7,150,11.89)",,,,,,,,,,
Grassfed Beef,Meat,Georgia,Yes,"(Grassfed Beef,Whole Foods,10001,1,170,13.88)",,,,,,,,,,
Green Tea ,Beverages,India,Yes,"(Green Tea,Trader Joe's,10002,4,340,7.25)",,,,,,,,,,
Green Tea Shampoo,Personal Care,Michigan,Yes,,,,,,,,,,,
Ground Breef,Meat,Texas,Yes,,,,,,,,,,,
Ice Cream,Dairy,Georgia,No,"(Ice Cream,Query Mart,10002,2,310,13.58)",,,,,,,,,,
Lamb Chops,Meat,New Zealand,Yes,"(Lamb Chops,Query Mart,10001,2,410,7.72), (Lamb Chops,Whole Foods,10002,4,280,20.14)",,,,,,,,,,
Lavender Handsoap,Personal Care,France,Yes,"(Lavender Handsoap,Kroger,10008,4,140,7.23)",,,,,,,,,,
Lemon Handsoap,Personal Care,France,Yes,,,,,,,,,,,
Makeup,Personal Care,New York,No,,,,,,,,,,,
Napkins,Paper Goods,South Carolina,No,"(Napkins,Wal Mart,10006,4,410,18.36)",,,,,,,,,,
Navel Orange,Produce,California,Yes,,,,,,,,,,,
Onions,Produce,Mississippi,No,,,,,,,,,,,
Orange Juice,Beverages,Missouri,Yes,,,,,,,,,,,
Organic Peanut Butter,Other ,Alabama,Yes,,,,,,,,,,,
Organic Toothpaste,Personal Care,Florida,Yes,,,,,,,,,,,
Paper Cups,Paper Goods,South Carolina,No,"(Paper Cups,Publix,10003,10,430,20.18), (Paper Cups,Wal Mart,10005,1,50,7.73)",,,,,,,,,,
Paper plates,Paper Goods,South Carolina,No,"(Paper plates,Wal Mart,10007,10,60,20.29)",,,,,,,,,,
Peanut Butter,Other,Alabama,No,"(Peanut Butter,Publix,10002,6,190,10.35), (Peanut Butter,Sprouts,10004,7,410,1.30)",,,,,,,,,,
Pepper,Other,Alaska,No,,,,,,,,,,,
Pepsi,Beverages,Kansas,No,"(Pepsi,Kroger,10007,6,340,14.74), (Pepsi,Publix,10007,6,440,11.19), (Pepsi,Wal Mart,10004,10,110,3.21)",,,,,,,,,,
Plastic Brush,Personal Care,Louisiana,No,,,,,,,,,,,
Plastic Comb,Personal Care,Louisiana,No,,,,,,,,,,,
Pomagranted Juice,Beverages,Florida,Yes,,,,,,,,,,,
Potato,Produce,Alabama,No,,,,,,,,,,,
Pura Life,Beverages,California,Yes,,,,,,,,,,,
Roma Tomato,Produce,Mexico,Yes,"(Roma Tomato,Publix,10005,6,140,15.91)",,,,,,,,,,
Rosemary Tea,Beverages,Greece,Yes,"(Rosemary Tea,Trader Joe's,10004,10,310,10.55)",,,,,,,,,,
Sea salt,Other,Alaska,Yes,,,,,,,,,,,
Spinach,Produce,Florida,Yes,"(Spinach,Kroger,10006,8,130,2.35), (Spinach,Wal Mart,10001,9,320,11.44)",,,,,,,,,,
Spring Water,Beverages,California,Yes,,,,,,,,,,,
Stationary,Paper Goods,North Carolina,No,,,,,,,,,,,
Strawberries,Produce,Wisconson,Yes,,,,,,,,,,,
